epoch,step,train_loss_epoch,train_loss_step,val_MAE,val_MAPE,val_RMSE,val_SMAPE,val_loss
0,49,,2.3342010974884033,,,,,
0,99,,1.8873156309127808,,,,,
0,149,,1.4914331436157227,,,,,
0,199,,1.4178823232650757,,,,,
0,249,,1.5480726957321167,,,,,
0,299,,1.5119012594223022,,,,,
0,349,,1.4531768560409546,,,,,
0,399,,1.4047542810440063,,,,,
0,449,,1.3345929384231567,,,,,
0,499,,1.2720913887023926,,,,,
0,549,,1.406874656677246,,,,,
0,599,,1.3440717458724976,,,,,
0,649,,1.4307554960250854,,,,,
0,699,,1.3506454229354858,,,,,
0,749,,1.3253251314163208,,,,,
0,799,,1.355148434638977,,,,,
0,849,,1.280137300491333,,,,,
0,899,,1.3094655275344849,,,,,
0,949,,1.3044663667678833,,,,,
0,999,,1.2215930223464966,,,,,
0,1049,,1.1995774507522583,,,,,
0,1099,,1.4596962928771973,,,,,
0,1149,,1.2019132375717163,,,,,
0,1199,,1.2462838888168335,,,,,
0,1249,,1.2392287254333496,,,,,
0,1299,,1.2177157402038574,,,,,
0,1349,,1.238168716430664,,,,,
0,1399,,1.3394979238510132,,,,,
0,1449,,1.1459174156188965,,,,,
0,1499,,1.1959620714187622,,,,,
0,1549,,1.245559573173523,,,,,
0,1599,,1.1311317682266235,,,,,
0,1649,,1.1624782085418701,,,,,
0,1699,,1.1752938032150269,,,,,
0,1706,,,1.532034993171692,0.3026494085788727,1.844974398612976,0.2668176591396332,1.532034993171692
0,1706,1.3777269124984741,,,,,,
1,1749,,1.1136996746063232,,,,,
1,1799,,1.1694138050079346,,,,,
1,1849,,1.1456493139266968,,,,,
1,1899,,1.2082210779190063,,,,,
1,1949,,1.3154202699661255,,,,,
1,1999,,1.284285306930542,,,,,
1,2049,,1.192368984222412,,,,,
1,2099,,1.1579490900039673,,,,,
1,2149,,1.2093976736068726,,,,,
1,2199,,1.0770055055618286,,,,,
1,2249,,1.1476531028747559,,,,,
1,2299,,1.2209779024124146,,,,,
1,2349,,1.1640726327896118,,,,,
1,2399,,1.1468499898910522,,,,,
1,2449,,1.09404456615448,,,,,
1,2499,,1.1440948247909546,,,,,
1,2549,,1.1428791284561157,,,,,
1,2599,,1.207161784172058,,,,,
1,2649,,1.0133099555969238,,,,,
1,2699,,1.1571850776672363,,,,,
1,2749,,1.070146918296814,,,,,
1,2799,,1.088539481163025,,,,,
1,2849,,1.173796534538269,,,,,
1,2899,,1.221451759338379,,,,,
1,2949,,1.1251482963562012,,,,,
1,2999,,1.1906839609146118,,,,,
1,3049,,1.251320719718933,,,,,
1,3099,,1.2049108743667603,,,,,
1,3149,,1.0628480911254883,,,,,
1,3199,,1.128951907157898,,,,,
1,3249,,1.1522568464279175,,,,,
1,3299,,1.1078848838806152,,,,,
1,3349,,1.1257010698318481,,,,,
1,3399,,1.0850774049758911,,,,,
1,3413,,,1.2774440050125122,0.2122490108013153,1.6606309413909912,0.21122215688228607,1.2774440050125122
1,3413,1.1369816064834595,,,,,,
2,3449,,1.2816894054412842,,,,,
2,3499,,1.0435954332351685,,,,,
2,3549,,1.1042109727859497,,,,,
2,3599,,1.10399329662323,,,,,
2,3649,,1.1666144132614136,,,,,
2,3699,,1.0772467851638794,,,,,
2,3749,,1.1519743204116821,,,,,
2,3799,,1.0121010541915894,,,,,
2,3849,,1.1674330234527588,,,,,
2,3899,,0.9888504147529602,,,,,
2,3949,,1.0088411569595337,,,,,
2,3999,,1.0968198776245117,,,,,
2,4049,,0.9965319633483887,,,,,
2,4099,,1.0062508583068848,,,,,
2,4149,,0.9818969368934631,,,,,
2,4199,,1.1242847442626953,,,,,
2,4249,,1.0659112930297852,,,,,
2,4299,,1.0942720174789429,,,,,
2,4349,,1.0463504791259766,,,,,
2,4399,,1.0997449159622192,,,,,
2,4449,,1.0812069177627563,,,,,
2,4499,,1.0000958442687988,,,,,
2,4549,,1.0078328847885132,,,,,
2,4599,,1.0221613645553589,,,,,
2,4649,,1.0064204931259155,,,,,
2,4699,,1.0904197692871094,,,,,
2,4749,,1.1528239250183105,,,,,
2,4799,,1.0611563920974731,,,,,
2,4849,,1.213699221611023,,,,,
2,4899,,0.9802694916725159,,,,,
2,4949,,1.0699125528335571,,,,,
2,4999,,1.0381360054016113,,,,,
2,5049,,1.0187973976135254,,,,,
2,5099,,1.0868772268295288,,,,,
2,5120,,,1.4212464094161987,0.2672598659992218,1.7891724109649658,0.24677583575248718,1.4212464094161987
2,5120,1.0720738172531128,,,,,,
3,5149,,0.9576799273490906,,,,,
3,5199,,1.0067377090454102,,,,,
3,5249,,1.0400186777114868,,,,,
