epoch,step,train_loss_epoch,train_loss_step,val_MAE,val_MAPE,val_RMSE,val_SMAPE,val_loss
0,49,,2.120739698410034,,,,,
0,99,,1.552750587463379,,,,,
0,149,,1.5640207529067993,,,,,
0,199,,1.524553656578064,,,,,
0,249,,1.4700654745101929,,,,,
0,299,,1.5106672048568726,,,,,
0,349,,1.4876857995986938,,,,,
0,399,,1.3075720071792603,,,,,
0,449,,1.3897457122802734,,,,,
0,499,,1.340908408164978,,,,,
0,549,,1.499024510383606,,,,,
0,599,,1.3221426010131836,,,,,
0,649,,1.1813725233078003,,,,,
0,699,,1.3145040273666382,,,,,
0,749,,1.298386812210083,,,,,
0,799,,1.209502100944519,,,,,
0,849,,1.2506176233291626,,,,,
0,899,,1.3196815252304077,,,,,
0,949,,1.2284495830535889,,,,,
0,999,,1.2397041320800781,,,,,
0,1049,,1.283575415611267,,,,,
0,1099,,1.2398916482925415,,,,,
0,1149,,1.1982148885726929,,,,,
0,1199,,1.3429936170578003,,,,,
0,1249,,1.1387261152267456,,,,,
0,1299,,1.1423619985580444,,,,,
0,1349,,1.2509292364120483,,,,,
0,1399,,1.3577380180358887,,,,,
0,1449,,1.1213535070419312,,,,,
0,1499,,1.212989330291748,,,,,
0,1549,,1.208905816078186,,,,,
0,1599,,1.2070794105529785,,,,,
0,1649,,1.1704000234603882,,,,,
0,1699,,1.3191930055618286,,,,,
0,1706,,,1.5764790773391724,0.32986924052238464,1.9526538848876953,0.2720649242401123,1.5764790773391724
0,1706,1.3658367395401,,,,,,
1,1749,,1.1491667032241821,,,,,
1,1799,,1.0665212869644165,,,,,
1,1849,,1.1969457864761353,,,,,
1,1899,,1.100268006324768,,,,,
1,1949,,1.2150250673294067,,,,,
1,1999,,1.2182482481002808,,,,,
1,2049,,1.1069070100784302,,,,,
1,2099,,1.2147992849349976,,,,,
1,2149,,1.101558804512024,,,,,
1,2199,,1.1509684324264526,,,,,
1,2249,,1.0833219289779663,,,,,
1,2299,,1.1989737749099731,,,,,
1,2349,,1.0617386102676392,,,,,
1,2399,,1.2040157318115234,,,,,
1,2449,,1.13166081905365,,,,,
1,2499,,1.0536082983016968,,,,,
1,2549,,1.107039213180542,,,,,
1,2599,,1.2235987186431885,,,,,
1,2649,,1.111532211303711,,,,,
1,2699,,1.0733174085617065,,,,,
1,2749,,1.10598623752594,,,,,
1,2799,,1.161192774772644,,,,,
1,2849,,1.15657639503479,,,,,
1,2899,,1.16148841381073,,,,,
1,2949,,1.0325798988342285,,,,,
1,2999,,1.1625195741653442,,,,,
1,3049,,1.0575264692306519,,,,,
1,3099,,1.0651150941848755,,,,,
1,3149,,1.1371644735336304,,,,,
1,3199,,1.1070209741592407,,,,,
1,3249,,1.0930595397949219,,,,,
1,3299,,1.090119481086731,,,,,
1,3349,,1.19640052318573,,,,,
1,3399,,1.0450843572616577,,,,,
1,3413,,,1.4421154260635376,0.2857804596424103,1.8097652196884155,0.2494758516550064,1.4421154260635376
1,3413,1.1380603313446045,,,,,,
2,3449,,1.027951717376709,,,,,
2,3499,,1.1577690839767456,,,,,
2,3549,,1.046353816986084,,,,,
2,3599,,1.0548537969589233,,,,,
2,3649,,1.1268061399459839,,,,,
2,3699,,1.0442873239517212,,,,,
2,3749,,1.0627570152282715,,,,,
2,3799,,1.069385051727295,,,,,
2,3849,,1.0609761476516724,,,,,
2,3899,,1.191440224647522,,,,,
2,3949,,1.1389474868774414,,,,,
2,3999,,1.135318636894226,,,,,
2,4049,,1.0831364393234253,,,,,
2,4099,,1.0082277059555054,,,,,
2,4149,,1.0697914361953735,,,,,
2,4199,,1.0135022401809692,,,,,
2,4249,,1.0090783834457397,,,,,
