epoch,step,train_loss_epoch,train_loss_step,val_MAE,val_MAPE,val_RMSE,val_SMAPE,val_loss
0,49,,2.261265993118286,,,,,
0,99,,1.9017935991287231,,,,,
0,149,,1.4961704015731812,,,,,
0,199,,1.4909223318099976,,,,,
0,249,,1.4747251272201538,,,,,
0,299,,1.4427441358566284,,,,,
0,349,,1.4923590421676636,,,,,
0,399,,1.3661898374557495,,,,,
0,449,,1.4979201555252075,,,,,
0,499,,1.247849941253662,,,,,
0,549,,1.2555104494094849,,,,,
0,599,,1.36062490940094,,,,,
0,649,,1.2308629751205444,,,,,
0,699,,1.397009253501892,,,,,
0,749,,1.4016242027282715,,,,,
0,799,,1.3075039386749268,,,,,
0,849,,1.288533091545105,,,,,
0,899,,1.2643544673919678,,,,,
0,949,,1.324887752532959,,,,,
0,999,,1.2416526079177856,,,,,
0,1049,,1.3776909112930298,,,,,
0,1099,,1.2704225778579712,,,,,
0,1149,,1.1755053997039795,,,,,
0,1199,,1.3507801294326782,,,,,
0,1249,,1.2346783876419067,,,,,
0,1299,,1.165926456451416,,,,,
0,1349,,1.2954078912734985,,,,,
0,1399,,1.2731878757476807,,,,,
0,1449,,1.2370704412460327,,,,,
0,1499,,1.3614157438278198,,,,,
0,1549,,1.2393642663955688,,,,,
0,1599,,1.117525339126587,,,,,
0,1649,,1.342544674873352,,,,,
0,1699,,1.1666053533554077,,,,,
0,1706,,,1.7653136253356934,0.32497408986091614,2.1122653484344482,0.3101973235607147,1.7653136253356934
0,1706,1.3822990655899048,,,,,,
1,1749,,1.2219698429107666,,,,,
1,1799,,1.295676350593567,,,,,
1,1849,,1.136589765548706,,,,,
1,1899,,1.1846460103988647,,,,,
1,1949,,1.2018245458602905,,,,,
1,1999,,1.2314938306808472,,,,,
1,2049,,1.19976007938385,,,,,
1,2099,,1.1776918172836304,,,,,
1,2149,,1.1875447034835815,,,,,
1,2199,,1.269087791442871,,,,,
1,2249,,1.0924137830734253,,,,,
1,2299,,1.1478925943374634,,,,,
1,2349,,1.0868390798568726,,,,,
1,2399,,1.1073411703109741,,,,,
1,2449,,1.2095775604248047,,,,,
1,2499,,1.122846245765686,,,,,
1,2549,,1.1615875959396362,,,,,
1,2599,,1.236747145652771,,,,,
1,2649,,1.2570720911026,,,,,
1,2699,,1.1249401569366455,,,,,
1,2749,,1.1243770122528076,,,,,
1,2799,,1.1329542398452759,,,,,
1,2849,,1.1664944887161255,,,,,
1,2899,,1.1916043758392334,,,,,
1,2949,,1.1119738817214966,,,,,
1,2999,,1.0671311616897583,,,,,
1,3049,,1.0975250005722046,,,,,
1,3099,,1.0150049924850464,,,,,
1,3149,,1.1819261312484741,,,,,
1,3199,,1.289004921913147,,,,,
1,3249,,1.1817902326583862,,,,,
1,3299,,1.134372353553772,,,,,
1,3349,,1.1354681253433228,,,,,
1,3399,,1.1547771692276,,,,,
1,3413,,,1.8622560501098633,0.3051474094390869,2.3127658367156982,0.314691424369812,1.8622560501098633
1,3413,1.1390149593353271,,,,,,
2,3449,,1.1274757385253906,,,,,
2,3499,,1.0612595081329346,,,,,
2,3549,,1.1193641424179077,,,,,
2,3599,,1.181374430656433,,,,,
2,3649,,1.0848230123519897,,,,,
2,3699,,1.043319582939148,,,,,
2,3749,,1.1287728548049927,,,,,
2,3799,,1.0573984384536743,,,,,
2,3849,,1.0461760759353638,,,,,
2,3899,,1.061416745185852,,,,,
2,3949,,1.0012673139572144,,,,,
2,3999,,1.1451035737991333,,,,,
2,4049,,1.099555492401123,,,,,
2,4099,,1.0902713537216187,,,,,
2,4149,,1.078341007232666,,,,,
2,4199,,1.0121270418167114,,,,,
2,4249,,1.0442538261413574,,,,,
2,4299,,1.089011549949646,,,,,
2,4349,,1.0745049715042114,,,,,
2,4399,,1.1233018636703491,,,,,
2,4449,,1.0929417610168457,,,,,
2,4499,,1.17511785030365,,,,,
2,4549,,1.101035714149475,,,,,
2,4599,,1.1127055883407593,,,,,
2,4649,,0.9581310749053955,,,,,
2,4699,,1.046675682067871,,,,,
2,4749,,1.0335196256637573,,,,,
2,4799,,0.9983019232749939,,,,,
2,4849,,1.091119408607483,,,,,
2,4899,,1.0498042106628418,,,,,
2,4949,,1.0223097801208496,,,,,
2,4999,,1.0836505889892578,,,,,
2,5049,,1.1151174306869507,,,,,
2,5099,,1.0692919492721558,,,,,
2,5120,,,1.4379562139511108,0.26377156376838684,1.7914308309555054,0.2472487986087799,1.4379562139511108
2,5120,1.0763115882873535,,,,,,
3,5149,,1.176643967628479,,,,,
3,5199,,1.0479360818862915,,,,,
3,5249,,1.055984616279602,,,,,
3,5299,,1.0832360982894897,,,,,
3,5349,,1.065428614616394,,,,,
3,5399,,1.0817475318908691,,,,,
3,5449,,0.9894735813140869,,,,,
3,5499,,1.0684123039245605,,,,,
3,5549,,0.9952022433280945,,,,,
3,5599,,0.9271577000617981,,,,,
3,5649,,1.0032328367233276,,,,,
3,5699,,1.00080144405365,,,,,
3,5749,,1.064112663269043,,,,,
3,5799,,1.065083622932434,,,,,
3,5849,,1.0420880317687988,,,,,
3,5899,,0.9712104797363281,,,,,
3,5949,,0.988331139087677,,,,,
3,5999,,1.0809835195541382,,,,,
3,6049,,1.1041299104690552,,,,,
3,6099,,0.9485561847686768,,,,,
3,6149,,0.9694302678108215,,,,,
3,6199,,0.9953245520591736,,,,,
3,6249,,1.064357876777649,,,,,
3,6299,,0.9998162388801575,,,,,
3,6349,,0.993092954158783,,,,,
3,6399,,0.9983530044555664,,,,,
3,6449,,1.0613237619400024,,,,,
3,6499,,0.9969707131385803,,,,,
3,6549,,1.0346957445144653,,,,,
3,6599,,1.0365070104599,,,,,
3,6649,,0.9979364275932312,,,,,
3,6699,,0.8703014850616455,,,,,
3,6749,,1.0553795099258423,,,,,
3,6799,,1.014573097229004,,,,,
3,6827,,,1.304900884628296,0.21515361964702606,1.696225643157959,0.22000086307525635,1.304900884628296
3,6827,1.0294952392578125,,,,,,
4,6849,,1.077963948249817,,,,,
4,6899,,1.0169508457183838,,,,,
4,6949,,1.0264681577682495,,,,,
4,6999,,0.9312955737113953,,,,,
4,7049,,0.9875192046165466,,,,,
4,7099,,0.930701732635498,,,,,
4,7149,,1.049478530883789,,,,,
4,7199,,1.059348225593567,,,,,
4,7249,,1.0626506805419922,,,,,
4,7299,,0.9412827491760254,,,,,
4,7349,,0.9270452857017517,,,,,
4,7399,,1.0709108114242554,,,,,
4,7449,,1.0351601839065552,,,,,
4,7499,,1.0143264532089233,,,,,
4,7549,,0.9534932971000671,,,,,
4,7599,,0.9265933632850647,,,,,
4,7649,,1.009942889213562,,,,,
4,7699,,0.9832844138145447,,,,,
4,7749,,1.0068227052688599,,,,,
4,7799,,0.9949138760566711,,,,,
4,7849,,0.9464408755302429,,,,,
4,7899,,1.0146102905273438,,,,,
4,7949,,0.9848350882530212,,,,,
4,7999,,0.9947405457496643,,,,,
4,8049,,0.9859105944633484,,,,,
4,8099,,0.9099454879760742,,,,,
4,8149,,0.9292604327201843,,,,,
4,8199,,0.9342690110206604,,,,,
4,8249,,0.9811169505119324,,,,,
4,8299,,0.8799403309822083,,,,,
4,8349,,0.9589361548423767,,,,,
4,8399,,1.0204241275787354,,,,,
4,8449,,1.0338516235351562,,,,,
4,8499,,0.9755983948707581,,,,,
4,8534,,,1.220690131187439,0.2228478193283081,1.5553679466247559,0.20851296186447144,1.220690131187439
4,8534,0.9943456053733826,,,,,,
