epoch,step,train_loss_epoch,train_loss_step,val_MAE,val_MAPE,val_RMSE,val_SMAPE,val_loss
0,49,,2.2202765941619873,,,,,
0,99,,1.769831657409668,,,,,
0,149,,1.6236820220947266,,,,,
0,199,,1.6036916971206665,,,,,
0,249,,1.4289418458938599,,,,,
0,299,,1.546433925628662,,,,,
0,349,,1.2729958295822144,,,,,
0,399,,1.405184268951416,,,,,
0,449,,1.3001234531402588,,,,,
0,499,,1.254983901977539,,,,,
0,549,,1.3435484170913696,,,,,
0,599,,1.4177594184875488,,,,,
0,649,,1.4406288862228394,,,,,
0,699,,1.4460176229476929,,,,,
0,749,,1.306930422782898,,,,,
0,799,,1.2453410625457764,,,,,
0,849,,1.2281478643417358,,,,,
0,899,,1.3857988119125366,,,,,
0,949,,1.287569284439087,,,,,
0,999,,1.3769259452819824,,,,,
0,1049,,1.2586899995803833,,,,,
0,1099,,1.2762426137924194,,,,,
0,1149,,1.223321557044983,,,,,
0,1199,,1.1976960897445679,,,,,
0,1249,,1.183594822883606,,,,,
0,1299,,1.183047890663147,,,,,
0,1349,,1.2229655981063843,,,,,
0,1399,,1.3287469148635864,,,,,
0,1449,,1.1320198774337769,,,,,
0,1499,,1.1513468027114868,,,,,
0,1549,,1.166703224182129,,,,,
0,1599,,1.2269400358200073,,,,,
0,1649,,1.1639981269836426,,,,,
0,1699,,1.155545949935913,,,,,
0,1706,,,1.637882113456726,0.3404242992401123,1.981410264968872,0.28216230869293213,1.637882113456726
0,1706,1.3760366439819336,,,,,,
1,1749,,1.177525281906128,,,,,
1,1799,,1.141414999961853,,,,,
1,1849,,1.0400817394256592,,,,,
1,1899,,1.1270982027053833,,,,,
1,1949,,1.2183880805969238,,,,,
1,1999,,1.1863683462142944,,,,,
1,2049,,1.2498654127120972,,,,,
1,2099,,1.074056625366211,,,,,
1,2149,,1.1525486707687378,,,,,
1,2199,,1.1690582036972046,,,,,
1,2249,,1.1244419813156128,,,,,
1,2299,,1.1203490495681763,,,,,
1,2349,,1.2306057214736938,,,,,
1,2399,,1.2371950149536133,,,,,
1,2449,,1.185155987739563,,,,,
1,2499,,1.141189694404602,,,,,
1,2549,,1.1677403450012207,,,,,
1,2599,,1.1710284948349,,,,,
1,2649,,1.1165755987167358,,,,,
1,2699,,1.2045936584472656,,,,,
1,2749,,1.0587944984436035,,,,,
1,2799,,1.0353875160217285,,,,,
1,2849,,1.0537735223770142,,,,,
1,2899,,1.0786556005477905,,,,,
1,2949,,1.1529197692871094,,,,,
1,2999,,1.1630078554153442,,,,,
1,3049,,1.1085315942764282,,,,,
1,3099,,1.0870314836502075,,,,,
1,3149,,1.2758535146713257,,,,,
1,3199,,1.1759493350982666,,,,,
1,3249,,1.0709805488586426,,,,,
1,3299,,1.0825310945510864,,,,,
1,3349,,1.131373643875122,,,,,
1,3399,,1.0067262649536133,,,,,
1,3413,,,1.7143487930297852,0.29717540740966797,2.125617742538452,0.290851891040802,1.7143487930297852
1,3413,1.1483794450759888,,,,,,
2,3449,,1.096924901008606,,,,,
2,3499,,1.0976697206497192,,,,,
2,3549,,1.0011615753173828,,,,,
2,3599,,0.9647737145423889,,,,,
2,3649,,1.1069728136062622,,,,,
